City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Poya,NC,-21.35,165.15,70.59,75,100,10.42,overcast clouds
221,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.48,93,40,6.2,scattered clouds
222,New Norfolk,AU,-42.7826,147.0587,50.92,68,100,3.33,overcast clouds
223,Cockburn Town,TC,21.4612,-71.1419,81.14,79,3,19.22,clear sky
224,Shyryayeve,UA,47.3805,30.1964,57.74,80,0,11.18,clear sky
225,Lubumbashi,CD,-11.6609,27.4794,52.59,75,2,3.89,clear sky
226,Faya,SA,18.3851,42.4509,64.92,62,74,4.65,broken clouds
227,North Bend,US,43.4065,-124.2243,64.92,85,0,16.11,clear sky
228,Minna,NG,9.6139,6.5569,76.71,94,20,2.3,light rain
229,Mairang,IN,25.5667,91.6333,71.73,74,3,5.68,clear sky
230,Lusambo,CD,-4.9667,23.45,68.97,52,5,1.86,clear sky
231,Kloulklubed,PW,7.0419,134.2556,84.7,72,36,5.84,scattered clouds
232,La Sarre,CA,48.8002,-79.1996,53.29,86,80,4.56,broken clouds
233,Bethel,US,41.3712,-73.414,78.67,75,91,1.19,overcast clouds
234,Bandarbeyla,SO,9.4942,50.8122,79.29,66,100,26.33,overcast clouds
235,Honningsvag,NO,70.9821,25.9704,55.15,94,100,0.0,light rain
236,Port Hedland,AU,-20.3167,118.5667,71.65,24,18,19.57,few clouds
237,Betioky,MG,-23.7167,44.3833,56.35,77,0,3.02,clear sky
238,Itarema,BR,-2.9248,-39.9167,78.96,79,11,14.47,few clouds
239,Jurado,CO,7.1053,-77.7641,76.23,92,94,3.62,light rain
240,Margate,GB,51.3813,1.3862,64.31,89,100,1.99,overcast clouds
241,Harper,LR,4.375,-7.7169,75.67,80,95,7.74,overcast clouds
242,Kaitangata,NZ,-46.2817,169.8464,45.77,85,93,9.06,overcast clouds
243,Myaundzha,RU,63.0494,147.1858,75.63,42,29,3.67,scattered clouds
244,Te Anau,NZ,-45.4167,167.7167,43.59,83,62,0.58,broken clouds
245,Srednekolymsk,RU,67.45,153.6833,63.93,50,73,15.48,broken clouds
246,Mariakani,KE,-3.8633,39.4736,71.82,81,96,11.5,overcast clouds
247,Port Augusta,AU,-32.5,137.7667,56.88,49,0,1.61,clear sky
248,Nouadhibou,MR,20.931,-17.0347,69.78,88,27,19.57,scattered clouds
249,Torbay,CA,47.6666,-52.7314,66.97,88,100,17.27,overcast clouds
250,Ilulissat,GL,69.2167,-51.1,46.42,81,65,4.61,broken clouds
251,Husavik,IS,66.0449,-17.3389,47.73,71,100,7.54,overcast clouds
252,Jiuquan,CN,39.7432,98.5174,77.04,34,100,15.95,overcast clouds
253,Secunda,ZA,-26.55,29.1667,43.84,52,0,4.65,clear sky
254,Vila,PT,42.0304,-8.1588,81.48,34,63,4.79,broken clouds
255,Bathsheba,BB,13.2167,-59.5167,81.21,86,20,13.8,few clouds
256,Loreto,MX,22.2667,-101.9667,69.35,50,80,21.83,broken clouds
257,Burnley,GB,53.8,-2.2333,56.28,90,84,3.78,broken clouds
258,Tilichiki,RU,60.4667,166.1,70.93,63,31,6.93,scattered clouds
259,Basavakalyan,IN,17.8667,76.95,69.3,93,100,20.65,light rain
260,Smolenka,RU,52.1352,113.4974,69.87,64,0,2.24,clear sky
261,Manta,EC,-0.95,-80.7333,69.98,89,96,11.16,overcast clouds
262,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,62.04,93,86,6.02,overcast clouds
263,Mount Gambier,AU,-37.8333,140.7667,54.01,68,100,2.84,overcast clouds
264,Clyde River,CA,70.4692,-68.5914,37.63,93,0,11.5,clear sky
265,Estelle,US,29.8458,-90.1067,84.2,74,75,6.91,broken clouds
266,Pangkalanbuun,ID,-2.6833,111.6167,82.38,75,74,3.44,broken clouds
267,Mitsamiouli,KM,-11.3847,43.2844,77.5,73,4,8.08,clear sky
268,Talnakh,RU,69.4865,88.3972,58.21,46,52,0.72,broken clouds
269,Xining,CN,36.6167,101.7667,66.38,66,100,0.83,overcast clouds
270,Puerto Palomas,MX,31.7667,-107.6167,93.11,20,12,13.42,few clouds
271,Taltal,CL,-25.4,-70.4833,54.61,81,33,5.77,scattered clouds
272,Kirakira,SB,-10.4544,161.9205,84.52,56,8,3.62,clear sky
273,Homer,US,59.6425,-151.5483,60.69,69,75,12.66,broken clouds
274,Kaili,ID,-3.4626,120.2147,71.8,94,71,1.68,broken clouds
275,Batagay,RU,67.6333,134.6333,67.06,48,9,2.57,clear sky
276,Camacha,PT,33.0833,-16.3333,63.82,77,20,1.14,few clouds
277,Manoel Urbano,BR,-8.8389,-69.2597,77.9,73,99,1.32,overcast clouds
278,Meulaboh,ID,4.1363,96.1285,80.17,81,18,6.11,few clouds
279,Jumla,NP,29.2747,82.1838,68.34,72,70,1.92,broken clouds
280,Kruisfontein,ZA,-34.0033,24.7314,49.89,53,39,9.69,scattered clouds
281,Boa Vista,BR,2.8197,-60.6733,80.58,74,0,5.75,clear sky
